state_name,registration_year,bev_count,phev_count
Alabama,2020,2900,2100
Alaska,2020,900,400
Arizona,2020,28800,11200
Arkansas,2020,1300,1100
California,2020,425300,265500
Colorado,2020,24700,10800
Connecticut,2020,9000,6200
Delaware,2020,1900,1500
District of Columbia,2020,2400,1600
Florida,2020,58200,22400
Georgia,2020,23500,9400
Hawaii,2020,10700,3200
Idaho,2020,2300,1700
Illinois,2020,26000,13000
Indiana,2020,7000,5300
Iowa,2020,2300,2600
Kansas,2020,3100,2400
Kentucky,2020,2600,2100
Louisiana,2020,2000,1200
Maine,2020,1900,2800
Maryland,2020,18000,11900
Massachusetts,2020,21000,15600
Michigan,2020,10600,12500
Minnesota,2020,10400,6700
Mississippi,2020,800,700
Missouri,2020,6700,5300
Montana,2020,900,600
Nebraska,2020,1800,1300
Nevada,2020,11000,4200
New Hampshire,2020,2700,2500
New Jersey,2020,30400,12800
New Mexico,2020,2600,1900
New York,2020,32600,32600
North Carolina,2020,16200,9300
North Dakota,2020,200,300
Ohio,2020,14500,9500
Oklahoma,2020,3400,1800
Oregon,2020,22800,11800
Pennsylvania,2020,17500,12800
Rhode Island,2020,1600,1600
South Carolina,2020,4400,3000
South Dakota,2020,400,500
Tennessee,2020,7800,4300
Texas,2020,52200,20400
Utah,2020,11200,5200
Vermont,2020,2200,2300
Virginia,2020,20500,11200
Washington,2020,50500,18400
West Virginia,2020,600,700
Wisconsin,2020,6300,5900
Wyoming,2020,300,300
Alabama,2021,4700,3300
Alaska,2021,1300,500
Arizona,2021,40700,15500
Arkansas,2021,2400,1800
California,2021,563100,315300
Colorado,2021,37000,16100
Connecticut,2021,13300,9200
Delaware,2021,3000,2000
District of Columbia,2021,3700,2500
Florida,2021,95600,32200
Georgia,2021,34000,13600
Hawaii,2021,14200,4500
Idaho,2021,3500,2500
Illinois,2021,36500,18300
Indiana,2021,10400,7500
Iowa,2021,3700,3600
Kansas,2021,4500,3300
Kentucky,2021,4200,3100
Louisiana,2021,3200,2000
Maine,2021,3000,4200
Maryland,2021,25600,17200
Massachusetts,2021,30500,22200
Michigan,2021,17500,17200
Minnesota,2021,15000,8900
Mississippi,2021,1300,1100
Missouri,2021,10000,7200
Montana,2021,1600,1100
Nebraska,2021,2700,2000
Nevada,2021,17400,6300
New Hampshire,2021,4000,3500
New Jersey,2021,47800,18500
New Mexico,2021,4200,2800
New York,2021,51900,44600
North Carolina,2021,25200,13500
North Dakota,2021,400,400
Ohio,2021,21200,13100
Oklahoma,2021,7100,6900
Oregon,2021,30300,16900
Pennsylvania,2021,26800,17800
Rhode Island,2021,2500,2400
South Carolina,2021,7400,4700
South Dakota,2021,700,700
Tennessee,2021,12200,6300
Texas,2021,80900,30600
Utah,2021,16500,7500
Vermont,2021,3400,3200
Virginia,2021,30700,15800
Washington,2021,66800,24300
West Virginia,2021,1000,1000
Wisconsin,2021,9300,7700
Wyoming,2021,500,400
Alabama,2022,8700,4400
Alaska,2022,2000,700
Arizona,2022,65800,20400
Arkansas,2022,5100,2500
California,2022,903600,361100
Colorado,2022,59900,24000
Connecticut,2022,22000,13100
Delaware,2022,5400,2800
District of Columbia,2022,5900,3200
Florida,2022,168000,45800
Georgia,2022,60100,18100
Hawaii,2022,19800,5600
Idaho,2022,5900,3500
Illinois,2022,66900,25700
Indiana,2022,17700,10100
Iowa,2022,6200,4900
Kansas,2022,7600,4300
Kentucky,2022,7600,4400
Louisiana,2022,5900,2900
Maine,2022,5000,5700
Maryland,2022,46100,22900
Massachusetts,2022,49400,30500
Michigan,2022,33100,24300
Minnesota,2022,24300,11900
Mississippi,2022,2400,1600
Missouri,2022,17900,10400
Montana,2022,3300,1700
Nebraska,2022,4600,2900
Nevada,2022,32900,8800
New Hampshire,2022,7000,4800
New Jersey,2022,87000,26800
New Mexico,2022,7100,3900
New York,2022,84700,59800
North Carolina,2022,45600,18800
North Dakota,2022,600,600
Ohio,2022,34100,17800
Oklahoma,2022,16300,11500
Oregon,2022,47000,22500
Pennsylvania,2022,47400,25400
Rhode Island,2022,4300,3400
South Carolina,2022,13500,6700
South Dakota,2022,1200,1000
Tennessee,2022,22000,8900
Texas,2022,149000,42800
Utah,2022,28000,10200
Vermont,2022,5300,4200
Virginia,2022,56600,21700
Washington,2022,104100,31400
West Virginia,2022,1900,1400
Wisconsin,2022,15700,10000
Wyoming,2022,800,600
Alabama,2023,13000,5800
Alaska,2023,2700,900
Arizona,2023,89800,25600
Arkansas,2023,7100,3200
California,2023,1256600,410700
Colorado,2023,90100,37500
Connecticut,2023,31600,18400
Delaware,2023,8400,3800
District of Columbia,2023,8100,3700
Florida,2023,254900,57300
Georgia,2023,92400,22700
Hawaii,2023,25600,7300
Idaho,2023,8500,4600
Illinois,2023,99600,33400
Indiana,2023,26100,12900
Iowa,2023,9000,6100
Kansas,2023,11300,5600
Kentucky,2023,11600,5600
Louisiana,2023,8200,4000
Maine,2023,7400,7600
Maryland,2023,72100,31300
Massachusetts,2023,73800,43800
Michigan,2023,50300,29100
Minnesota,2023,37100,16100
Mississippi,2023,3600,2000
Missouri,2023,26900,13900
Montana,2023,4600,2500
Nebraska,2023,6900,3800
Nevada,2023,47400,10600
New Hampshire,2023,9900,6600
New Jersey,2023,134800,40900
New Mexico,2023,10300,4900
New York,2023,131300,92300
North Carolina,2023,70200,23700
North Dakota,2023,1000,800
Ohio,2023,50400,24000
Oklahoma,2023,22800,33000
Oregon,2023,64400,28800
Pennsylvania,2023,70200,38900
Rhode Island,2023,6400,5100
South Carolina,2023,20900,9000
South Dakota,2023,1700,1300
Tennessee,2023,33200,11000
Texas,2023,230100,55300
Utah,2023,40000,13000
Vermont,2023,7800,5700
Virginia,2023,84900,26800
Washington,2023,152100,41200
West Virginia,2023,2800,1800
Wisconsin,2023,24900,12500
Wyoming,2023,1100,800
Alabama,2024,17500,6800
Alaska,2024,3400,1100
Arizona,2024,111200,29300
Arkansas,2024,9500,3800
California,2024,1533900,447100
Colorado,2024,127000,48700
Connecticut,2024,39400,22500
Delaware,2024,11100,4600
District of Columbia,2024,10100,4300
Florida,2024,334800,70400
Georgia,2024,120000,26400
Hawaii,2024,29900,8700
Idaho,2024,11000,5600
Illinois,2024,125500,40400
Indiana,2024,34600,15300
Iowa,2024,11700,7300
Kansas,2024,14500,6600
Kentucky,2024,15000,6400
Louisiana,2024,11600,4600
Maine,2024,9700,9200
Maryland,2024,94900,36600
Massachusetts,2024,91100,52200
Michigan,2024,75800,33600
Minnesota,2024,47400,20100
Mississippi,2024,4900,2400
Missouri,2024,34200,16800
Montana,2024,5600,3200
Nebraska,2024,9100,4700
Nevada,2024,65600,13400
New Hampshire,2024,12700,8200
New Jersey,2024,173800,51600
New Mexico,2024,13000,5800
New York,2024,168100,111400
North Carolina,2024,91000,28300
North Dakota,2024,1300,1000
Ohio,2024,69400,29700
Oklahoma,2024,22600,34300
Oregon,2024,78400,33200
Pennsylvania,2024,89900,47600
Rhode Island,2024,8300,6000
South Carolina,2024,26800,11100
South Dakota,2024,2300,1700
Tennessee,2024,42600,12800
Texas,2024,294700,64700
Utah,2024,52200,15500
Vermont,2024,10200,6900
Virginia,2024,107400,32100
Washington,2024,191400,48500
West Virginia,2024,3800,2200
Wisconsin,2024,32300,15100
Wyoming,2024,1500,1000
